signal_id,symbol,es,at,residual,regime,final_state,mt5_ticket,timestamp_generated,timestamp_triggered,timestamp_submitted,timestamp_opened,timestamp_closed,pnl_points,pnl_money
SIG_20260616_150306_EURUSD,EURUSD,0.5853174603174603,0.9186507936507936,2.3260725906147628e-05,DYNAMIC,GENERATED,,2026-06-16T15:03:06.561918,,,,,0.0,0.0
SIG_20260616_150407_EURJPY,EURJPY,0.31746031746031744,0.9146825396825397,1.0466037037907156e-05,DYNAMIC,GENERATED,,2026-06-16T15:04:07.231297,,,,,0.0,0.0
SIG_20260616_150407_USDJPY,USDJPY,0.878968253968254,0.9503968253968254,1.449633886521065e-05,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:04:07.269866,2026-06-16T15:04:07.316375,,,,0.0,0.0
SIG_20260616_150407_GBPJPY,GBPJPY,0.6825396825396826,0.8908730158730159,1.9664028247016617e-05,DYNAMIC,GENERATED,,2026-06-16T15:04:07.373461,,,,,0.0,0.0
SIG_20260616_150407_XAUUSD,XAUUSD,0.7976190476190477,0.17261904761904762,0.0005910484006117515,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:04:07.414754,2026-06-16T15:04:07.463457,,,,0.0,0.0
SIG_20260616_150407_EURUSD,EURUSD,0.5853174603174603,0.9186507936507936,2.326495940717824e-05,DYNAMIC,GENERATED,,2026-06-16T15:04:07.516443,,,,,0.0,0.0
SIG_20260616_150508_EURJPY,EURJPY,0.3273809523809524,0.9146825396825397,1.0538511704044195e-05,DYNAMIC,GENERATED,,2026-06-16T15:05:08.238459,,,,,0.0,0.0
SIG_20260616_150508_USDJPY,USDJPY,0.8809523809523809,0.9503968253968254,1.4499879052062449e-05,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:05:08.315347,2026-06-16T15:05:08.372755,,,,0.0,0.0
SIG_20260616_150508_GBPJPY,GBPJPY,0.6805555555555556,0.8908730158730159,1.9658066286992423e-05,DYNAMIC,GENERATED,,2026-06-16T15:05:08.448636,,,,,0.0,0.0
SIG_20260616_150508_XAUUSD,XAUUSD,0.7976190476190477,0.17261904761904762,0.0005910729757806791,DYNAMIC,BLOCKED_POSITION_EXISTS,,2026-06-16T15:05:08.504446,2026-06-16T15:05:08.579321,,,,0.0,0.0
